entity_type,id,parent_id,building_code,building_name,floor,room_no,name,category,features,note
floor,floor:building:3-0:1층,building:3-0,3-0,농업생명과학대학 본관,1층,,,,,
floor,floor:building:3-0:2층,building:3-0,3-0,농업생명과학대학 본관,2층,,,,,
floor,floor:building:3-0:3층,building:3-0,3-0,농업생명과학대학 본관,3층,,,,,
floor,floor:building:3-0:4층,building:3-0,3-0,농업생명과학대학 본관,4층,,,,,
floor,floor:building:3-1:1층,building:3-1,3-1,농업생명과학대학 1호관,1층,,,,,
floor,floor:building:3-1:2층,building:3-1,3-1,농업생명과학대학 1호관,2층,,,,,
floor,floor:building:3-1:3층,building:3-1,3-1,농업생명과학대학 1호관,3층,,,,,
floor,floor:building:3-1:4층,building:3-1,3-1,농업생명과학대학 1호관,4층,,,,,
floor,floor:building:3-2:1층,building:3-2,3-2,농업생명과학대학 2호관,1층,,,,,
floor,floor:building:3-2:2층,building:3-2,3-2,농업생명과학대학 2호관,2층,,,,,
floor,floor:building:3-2:3층,building:3-2,3-2,농업생명과학대학 2호관,3층,,,,,
floor,floor:building:3-2:4층,building:3-2,3-2,농업생명과학대학 2호관,4층,,,,,
floor,floor:building:3-3:1층,building:3-3,3-3,농업생명과학대학 3호관,1층,,,,,
floor,floor:building:3-3:2층,building:3-3,3-3,농업생명과학대학 3호관,2층,,,,,
floor,floor:building:3-3:3층,building:3-3,3-3,농업생명과학대학 3호관,3층,,,,,
floor,floor:building:3-3:4층,building:3-3,3-3,농업생명과학대학 3호관,4층,,,,,
floor,floor:building:3-4:전체,building:3-4,3-4,농업생명과학대학 4호관,전체,,,,,
floor,floor:building:8-1:1층,building:8-1,8-1,경상대학 1호관,1층,,,,,
floor,floor:building:8-1:2층,building:8-1,8-1,경상대학 1호관,2층,,,,,
floor,floor:building:8-1:3층,building:8-1,8-1,경상대학 1호관,3층,,,,,
floor,floor:building:8-1:4층,building:8-1,8-1,경상대학 1호관,4층,,,,,
floor,floor:building:8-2:1층,building:8-2,8-2,경상대학 2호관,1층,,,,,
floor,floor:building:8-2:2층,building:8-2,8-2,경상대학 2호관,2층,,,,,
floor,floor:building:8-2:3층,building:8-2,8-2,경상대학 2호관,3층,,,,,
floor,floor:building:8-2:4층,building:8-2,8-2,경상대학 2호관,4층,,,,,
floor,floor:building:8-3:1층,building:8-3,8-3,경상대학 3호관,1층,,,,,
floor,floor:building:8-3:2층,building:8-3,8-3,경상대학 3호관,2층,,,,,
floor,floor:building:8-3:3층,building:8-3,8-3,경상대학 3호관,3층,,,,,
floor,floor:building:8-3:4층,building:8-3,8-3,경상대학 3호관,4층,,,,,
floor,floor:building:6-1:3층,building:6-1,6-1,사범대학 본관,3층,,,,,
floor,floor:building:6-1:4층,building:6-1,6-1,사범대학 본관,4층,,,,,
floor,floor:building:6-3:1층,building:6-3,6-3,사범대학 과학관,1층,,,,,
floor,floor:building:6-3:3층,building:6-3,6-3,사범대학 과학관,3층,,,,,
floor,floor:building:4-3:2층,building:4-3,4-3,진수당,2층,,,,,
floor,floor:building:4-3:3층,building:4-3,4-3,진수당,3층,,,,,
floor,floor:building:4-3:4층,building:4-3,4-3,진수당,4층,,,,,
floor,floor:building:4-3:5층,building:4-3,4-3,진수당,5층,,,,,
floor,floor:building:6-4:전체,building:6-4,6-4,사범대학 예체능관,전체,,,,,
floor,floor:building:14-3:3층,building:14-3,14-3,인문사회관,3층,,,,,
floor,floor:building:1-32:2층,building:1-32,1-32,글로벌인재관,2층,,,,,
floor,floor:building:7-1:1층,building:7-1,7-1,생활과학대학,1층,,,,,
floor,floor:building:7-1:2층,building:7-1,7-1,생활과학대학,2층,,,,,
floor,floor:building:7-1:3층,building:7-1,7-1,생활과학대학,3층,,,,,
floor,floor:building:7-1:4층,building:7-1,7-1,생활과학대학,4층,,,,,
floor,floor:building:7-1:5층,building:7-1,7-1,생활과학대학,5층,,,,,
floor,floor:building:10-1:전체,building:10-1,10-1,약학대학,전체,,,,,
floor,floor:building:ART-3:2층,building:ART-3,ART-3,예술대학 3호관,2층,,,,,
floor,floor:building:ART-1:1층,building:ART-1,ART-1,예술대학 본관,1층,,,,,
floor,floor:building:ART-1:2층,building:ART-1,ART-1,예술대학 본관,2층,,,,,
floor,floor:building:ART-1:3층,building:ART-1,ART-1,예술대학 본관,3층,,,,,
floor,floor:building:ART-1:4층,building:ART-1,ART-1,예술대학 본관,4층,,,,,
floor,floor:building:13-3:전체,building:13-3,13-3,예술대학 미술관·1-6 예지원,전체,,,,,
floor,floor:building:14-2:2층,building:14-2,14-2,인문대학 2호관,2층,,,,,
floor,floor:building:14-3:4층,building:14-3,14-3,인문사회관,4층,,,,,
floor,floor:building:14-1:전체,building:14-1,14-1,인문대학 1호관,전체,,,,,
