entity_type,id,parent_id,name,category,subcategory,building_code,legacy_no,main_function,location,campus,nearby_area,description,docent_text,hours,restriction,phone,note,latitude,longitude,coordinate_source,source_url,related_content,tour_order
building,building:3-0,,농업생명과학대학 본관,,,3-0,,센터·기계·산림·연구·강의,,,,,,,,,,35.84927240,127.13321760,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide.gif,,
building,building:3-1,,농업생명과학대학 1호관,,,3-1,,강의·학생 휴게·동아리,,,,,,,,,,35.84914990,127.13086360,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide1.gif,,
building,building:3-2,,농업생명과학대학 2호관,,,3-2,,공통강의·화학실험·학생자치·휴게,,,,,,,,,,35.84907310,127.13195780,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide2.gif,,
building,building:3-3,,농업생명과학대학 3호관,,,3-3,,강의·학생자치·공통실험,,,,,,,,,,35.84857350,127.13472880,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide3.gif,,
building,building:3-4,,농업생명과학대학 4호관,,,3-4,,교육·연구 공간(세부 기능 미확인),,,,,,,,,,35.84837750,127.13568820,local_coordinate_xlsx,https://agri.jbnu.ac.kr/agri/1286/subview.do,,
building,building:8-1,,경상대학 1호관,,,8-1,,학생 동아리 활동,,,,,,,,,,35.84472370,127.13390000,naver_local_search,,,
building,building:8-2,,경상대학 2호관,,,8-2,,강의·특강,,,,,,,,,,35.84472970,127.13530320,naver_local_search,,,
building,building:8-3,,경상대학 3호관,,,8-3,,교수연구,,,,,,,,,,35.84458830,127.13597420,naver_local_search,,,
building,building:6-1,,사범대학 본관,,,6-1,,국어·수학 교원양성·학과행정,,,,,,,,,,35.84263820,127.13190360,naver_local_search,,,
building,building:6-3,,사범대학 과학관,,,6-3,,과학교원 양성·실험교육,,,,,,,,,,35.84577950,127.12957870,naver_local_search,,,
building,building:4-3,,진수당,,,4-3,,"법학전문교육, 강의·세미나, 학생지원",,,,,,,,,,35.84521640,127.13151540,naver_local_search,,,
building,building:6-4,,사범대학 예체능관,,,6-4,,예체능 교원양성·실기,,,,,,,,,,35.84778000,127.12971030,naver_local_search,,,
building,building:1-32,,글로벌인재관,,,1-32,,공공인재 교육·행정,,,,,,,,,,35.84566290,127.13325340,naver_local_search,,,
building,building:7-1,,생활과학대학,,,7-1,,주거환경 교육·행정,,,,,,,,,,35.84252990,127.13289100,naver_local_search,,,
building,building:10-1,,약학대학,,,10-1,,약학 교육·실습·연구,,,,,,,,,,35.84840420,127.14479800,naver_local_search,,,
building,building:ART-1,,예술대학 본관,,,ART-1,,무용 교육·실기·행정,,,,,,,,,,35.850535,127.127330,open_street_map,,,
building,building:ART-2,,예술대학 2호관,,,ART-2,,한국음악 교육·연습·행정,,,,,,,,,,35.850779,127.128017,open_street_map,,,
building,building:ART-3,,예술대학 3호관,,,ART-3,,예술 교육·실기·행정,,,,,,,,,,,,user_provided_mapping,,,
building,building:13-3,,예술대학 미술관·1-6 예지원,,,13-3,,전시·예술교육 지원,,,,,,,,,,35.84619870,127.12673510,local_coordinate_xlsx_unmatched,https://www.jbnu.ac.kr/web/intro/campus/sub02.do,,
building,building:14-2,,인문대학 2호관,,,14-2,,인문학 교육·학과행정,,,,,,,,,,35.84418800,127.13275340,naver_local_search,,,
building,building:14-3,,인문사회관,,,14-3,,인문학 교육·학과행정,,,,,,,,,,35.84316520,127.13394860,naver_local_search,,,
building,building:14-1,,인문대학 1호관,,,14-1,,인문학 교육·연구,,,,,,,,,,35.84320480,127.13307840,naver_local_search,,,
building,building:15-0,,자연과학대학 본관,,,15-0,,수학 교육·행정,,,,,,,,,,35.84748770,127.13044110,naver_local_search,,,
building,building:15-1,,자연과학대학 1호관,,,15-1,,화학 교육·행정,,,,,,,,,,35.84526530,127.12743750,naver_local_search,,,
building,building:15-2,,자연과학대학 2호관,,,15-2,,생명과학 교육·행정,,,,,,,,,,35.84512960,127.12875370,naver_local_search,,,
building,building:15-3,,자연과학대학 3호관,,,15-3,,스포츠과학 교육·행정,,,,,,,,,,35.84711260,127.13040360,naver_local_search,,,
building,building:15-4,,자연과학대학 4호관,,,15-4,,분자생물 교육·행정,,,,,,,,,,35.84667950,127.13056610,naver_local_search,,,
building,building:15-5,,자연과학대학 5호관,,,15-5,,물리 교육·행정,,,,,,,,,,35.84616280,127.13086610,naver_local_search,,,
building,building:학군단,,학군단,,,,,반도체 교육·행정,,,,,,,,,,35.84610700,127.13149190,naver_local_search,,,
building,building:2-7,,공과대학 7호관,,,2-7,,컴퓨터·AI·정보보호·분산시스템 연구·교육,,,,,,,,,,35.84603790,127.13439070,naver_local_search,,,
building,building:2-1,,공과대학 1호관,,,2-1,,건축설계·바이오메디컬 연구·교육,,,,,,,,,,35.84657120,127.13260340,naver_local_search,,,
building,building:2-2,,공과대학 2호관,,,2-2,,유기소재·고분자 교육·실험,,,,,,,,,,35.84690040,127.13164460,naver_local_search,,,
building,building:2-3,,공과대학 3호관,,,2-3,,기계공학 강의·학생지원,,,,,,,,,,35.84692950,127.13350330,naver_local_search,,,
building,building:2-4,,공과대학 4호관,,,2-4,,기계·에너지·정보소재 교육연구,,,,,,,,,,35.84751540,127.13232500,naver_local_search,,,
building,building:2-5,,공과대학 5호관,,,2-5,,소프트웨어 교육·개발·연구,,,,,,,,,,35.84756270,127.13134100,naver_local_search,,,
building,building:2-6,,공과대학 6호관,,,2-6,,산업·환경공학 교육·실험,,,,,,,,,,35.84705450,127.13437820,naver_local_search,,,
building,building:2-8,,공과대학 8호관(자동차산학협동관),,,2-8,,자동차·공동실험·반도체설계교육,,,,,,,,,,35.848274,127.133558,,,,
building,building:2-9,,공과대학 9호관,,,2-9,,도시설계 교육·학과행정,,,,,,,,,,35.84761720,127.13364210,naver_local_search,,,
building,building:2-21,,풍동실험실,,,2-21,,풍동 실험·연구,,,,,,,,,,35.846617,127.124793,user_provided_coordinates,,,
building,building:2-22,,무진동실험실,,,2-22,,무진동 실험·연구,,,,,,,,,,35.846698,127.124922,user_provided_coordinates,,,
building,building:2-23,,대형풍동센터,,,2-23,,대형 풍동 실험·연구,,,,,,,,,,35.84912500,127.12601380,naver_local_search,,,
building,building:17-1,,자연사박물관,,,17-1,,"자연사 표본, 학술 연구·보존, 전시·교육",,,,,,,,,,35.84593640,127.12751500,naver_local_search,,,
building,building:1-26,,동아리전용관,,,1-26,,"학생 동아리, 자치·교류, 연습·창작",,,,,,,,,,35.84860710,127.12851240,naver_local_search,,,
building,building:2-20,,공대공장동,,,2-20,,"공작 실습, 시험편·실험장치 제작, 기자재 보수",,,,,,,,,,35.84657180,127.13494010,naver_local_search,,,
building,building:창조1관,,창조1관,,,,,"창업 지원, 창업교육·사업화, 창업지원단 행정",,,,,,,,,,35.84761280,127.13545310,naver_local_search,,,
building,building:정보혁신처 본동,,정보혁신처 본동,,,,,"대학 정보시스템, 네트워크·전산 인프라, 정보보안·이용자 지원",,,,,,,,,,35.84396540,127.13485000,naver_local_search,,,
building,building:정보화교육동,,정보화교육동,,,,,"컴퓨터 실습, 정보화 강의, 시청각 교육",,,,,,,,,,35.84375040,127.13530770,naver_local_search,,,
building,building:1-10,,건지원,,,1-10,,"지역혁신사업, 공유대학·융합교육, 학생지원·편의",,,,,,,,,,35.84349650,127.13466580,naver_local_search,,,
building,building:1-23,,우림인재등용관,,,1-23,,"국가시험 준비, 학습·강의, 휴식·생활지원",,,,,,,,,,35.84302870,127.13182800,naver_local_search,,,
building,building:1-1,,대학본부,,,1-1,,"대학 행정, 정책·기획, 학사·재정·인사",,,,,,,,,,35.84423320,127.13145840,naver_local_search,,,
building,building:4-2,,법학도서관,,,4-2,,"법학자료, 대출·정보서비스, 연구·학습",,,,,,,,,,35.84484870,127.13311250,naver_local_search,,,
building,building:중앙도서관,,중앙도서관,,,,,도서관 자료·열람·학습지원,,,,,,,,,,35.84829240,127.13201710,local_coordinate_xlsx,,,
building,building:한승헌도서관,,한승헌도서관,,,,,"민주주의·인권, 학습·토론, 열린 인문·휴식공간",,,,,,,,,,35.84467010,127.13262090,naver_local_search,,,
building,building:창업보육센터 1센터,,창업보육센터 1센터,,,,,"창업기업 입주, 교육·컨설팅, 기술사업화",,,,,,,,,,35.84818760,127.13290330,naver_local_search,,,
building,building:창업보육센터 2센터,,창업보육센터 2센터,,,,,"창업기업 입주, 공용시설 지원, 기업 성장지원",,,,,,,,,,35.84571440,127.13313370,naver_local_search,,,
building,building:21-5,,참빛관,,,21-5,,생활관·학생 편의시설,,,,,,,,,,35.850342,127.126150,user_provided_coordinates,,,
building,building:기존 전주실내체육관,,기존 전주실내체육관,,,,,"실내 스포츠경기, 대규모 체육행사, 문화행사",,,,,,,,,,35.84420760,127.12926380,naver_local_search,,,
building,building:1-11,,전북대학교 체육관,,,1-11,,"체육수업, 학생 체육활동, 훈련·경기",,,,,,,,,,35.84708210,127.12532500,naver_local_search,,,
building,building:1-3,,삼성문화회관,,,1-3,,"공연, 전시, 문화행사·대관",,,,,,,,,,35.84339870,127.13006250,naver_local_search,,,
building,building:창조2관,,창조2관,,,,,제2도서관,,,,,,,,,,35.84722370,127.13570000,naver_local_search,,,
building,building:전주캠퍼스 학생실습장,,전주캠퍼스 학생실습장,,,,,학생실습장,,,,,,,,,,35.84848400,127.13292730,naver_local_search,,,
building,building:5-1,,사회과학대학,,,5-1,,"사회과학 교육, 심리학 실습 관찰, 대학행정, 학생지원",,,,,,,,,,35.844034,127.133835,,,,
building,building:1-5,,전대학술문화회관,,,1-5,,문화회관,,,,,,,,,,35.844963,127.129967,open_street_map,,"전대학술문화회관은 전북대학교의 다양한 강연과 학생 행사가 열리는 공간입니다. 학생들을 위한 초청 강연부터 설명회, 토론회 등 여러 행사가 이곳에서 진행됩니다. 특히 대강당은 총학생회 정책토론회나 학생홍보대사 설명회처럼 많은 학생이 참여하는 행사에도 활용됩니다.",
building,building:BLD-INTL,,인터내셔널센터,,,BLD-INTL,,국제교류·언어교육·유학생지원,,,,,,,,,,35.844234,127.130495,tour_route.csv,,,
building,building:POI-NEUTINAMU,,교내 느티나무,,,POI-NEUTINAMU,,카페·휴게,,,,,,,,,,35.846783,127.128696,user_provided_coordinates,,,
building,building:POI-OS-SQUARE,,오스스퀘어,,,POI-OS-SQUARE,,카페·휴게,,,,,,,,,,35.843408,127.129602,user_provided_coordinates,,,
building,building:BLD-031,,박물관,,,BLD-031,,박물관·전시·문화교육,,,,,,,,,,35.845639,127.126740,tour_route.csv,,,
building,building:BLD-101,,학생타운,,,BLD-101,,학생편의·식음·학생지원,,,,,,,,,,35.845691,127.128392,user_reviewed_coordinates,,,
building,building:BLD-114,,후생관,,,BLD-114,,학생편의·식음·복지,,,,,,,,,,35.847561,127.134395,current_graph_canonical,,,
building,building:BLD-116,,훈산건지하우스,,,BLD-116,,생활관·학생 편의시설,,,,,,,,,,35.85177430,127.12926350,matched_store_coordinate,,,
building,building:BLD-LAW-SCHOOL,,법학전문대학원,,,BLD-LAW-SCHOOL,,법학전문교육·강의·연구,,,,,,,,,,35.850720,127.126153,user_provided_coordinates,,,
store,store:중앙도서관 편의점(쿱스켓),building:중앙도서관,중앙도서관 편의점(쿱스켓),편의점,,,2,,중앙도서관,,,,,24시간 운영(유인·무인),도서관 출입정책 확인,063-270-3949,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84829240,127.13201710,matched_facility_coordinate:중앙도서관,,,
store,store:할리스(중앙도서관),building:중앙도서관,할리스(중앙도서관),카페,,,2,,중앙도서관,,,,,08:30~17:30 / 매주 일요일 정기휴무,도서관 출입정책 확인,063-270-3949,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84829240,127.13201710,matched_facility_coordinate:중앙도서관,,,
store,store:공과대학 편의점(쿱스켓),building:2-1,공과대학 편의점(쿱스켓),편의점,,,3,,공과대학 1호관,,,,,24시간 운영(유인·무인),이용 가능,,주요 품목: 커피,35.848070,127.132040,naver_local_search,,,
store,store:진수당 편의점,building:4-3,진수당 편의점,편의점,,,4,,진수당,,,,,24시간 운영(유인·무인),이용 가능,063-270-4442,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.845372,127.130863,user_provided_coordinates,,,
store,store:건지원 편의점,building:1-10,건지원 편의점,편의점,,,5,,건지원,,,,,24시간 운영(유인·무인),이용 가능,063-270-2148,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84351000,127.13468500,matched_facility_office_or_address:건지원 2층 RISE사업단,,,
store,store:훈산건지하우스 편의점(쿱스켓),building:BLD-116,훈산건지하우스 편의점(쿱스켓),편의점,,,6,,훈산건지하우스,,,,,24시간 운영(유인·무인),이용 가능,063-219-6051,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.85177430,127.12926350,naver_local_search,,,
store,store:인터내셔널센터 편의점,building:BLD-INTL,인터내셔널센터 편의점,편의점,,,7,,인터내셔널센터,,,,,24시간 운영(유인·무인),이용 가능,063-270-5676,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.844608,127.130216,user_provided_coordinates,,,
store,store:후생관 CU,building:BLD-114,후생관 CU,편의점,,,8,,후생관 외부,,,,,24시간 운영(유인·무인),이용 가능,063-219-5715,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.847713,127.134688,,,,
store,store:학생타운 편의점(쿱스켓),building:BLD-101,학생타운 편의점(쿱스켓),편의점,,,9,,학생타운 1층,,,,,학기 08:00~22:00 / 방학 08:30~21:00 / 주말 10:00~19:00,이용 가능,,전북대 시설안내 | 이마트24 편의점,35.845682,127.128414,,,,
store,store:참빛관 이마트24,building:21-5,참빛관 이마트24,편의점,,,12,,참빛관 1층,,,,,학기 08:00~22:00 / 방학·주말 공식 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한,35.850720,127.126153,user_provided_coordinates,,,
store,store:학생타운 커피점,building:BLD-101,학생타운 커피점,카페,,,1,,학생타운,,,,,학기 08:30~18:00 / 방학 09:00~17:00,이용 가능,063-270-2154,생협 공식 | 주요품목: 커피·빵 등,35.84583200,127.12811250,naver_local_search,,,
store,store:진수당 카페,building:4-3,진수당 카페,카페,,,2,,진수당,,,,,학기 08:30~18:00 / 방학 08:30~17:00,이용 가능,063-270-4350,생협 공식 | 주요품목: 커피·빵 등,35.845380,127.130764,user_provided_coordinates,,,
store,store:후생관 카페(할리스),building:BLD-114,후생관 카페(할리스),카페,,,3,,후생관,,,,,학기 08:30~18:00 / 방학 09:00~17:00,이용 가능,063-270-2174,생협 공식 | 주요품목: 커피,35.84769610,127.13431570,naver_local_search,,,
store,store:생협 카페(박물관),building:BLD-031,생협 카페(박물관),카페,,,6,,박물관 1층,,,,,학기·방학 09:00~18:00,이용 가능,,전북대 시설안내 | 카페 매장,35.84565000,127.12620000,matched_facility_coordinate:박물관,,,
store,store:생협 카페(제1학생회관),building:BLD-101,생협 카페(제1학생회관),카페,,,8,,제1학생회관 1층,,,,,학기 09:00~18:00 / 토 10:00~15:00 / 방학 공식 미기재,이용 가능,,전북대 시설안내 | 카페 매장,35.845682,127.128414,,,,
store,store:느티나무카페,building:POI-NEUTINAMU,느티나무카페,카페,,,9,,교내 느티나무,,,,,공식 운영시간 미기재,이용 가능,,전북대 시설안내 | 매장 존재 확인 / 운영시간 별도 확인,35.84677850,127.12858540,naver_local_search,,,
store,store:생협 카페(참빛관),building:21-5,생협 카페(참빛관),카페,,,10,,참빛관 1층,,,,,공식 운영시간 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한,35.85079500,127.12636600,matched_facility_coordinate:생활관참빛관,,,
store,store:아로미마실,building:BLD-INTL,아로미마실,카페,,,11,,인터내셔널센터,,,,,08:30~18:00 / 매주 일요일 정기휴무,이용 가능,063-219-5550,커피/카공하기 좋음,35.844430,127.130431,open_street_map,,,
store,store:오스스퀘어(OS Square),building:POI-OS-SQUARE,오스스퀘어(OS Square),카페,,,13,,오스스퀘어,,,,,매일 08:00~22:00 / LO 21:30 (제공자료 기준),이용 가능,,별도 확인 | 생협 공식 매장목록에는 없음,35.843408,127.129602,user_provided_coordinates,,,
docent_spot,docent_leopard_statue,,표범상,도슨트스팟,상징물,,,,,전주캠퍼스,대학본부,전북대학교 상징 조형물,혹시 전북대학교의 상징동물이 무엇인지 아시나요? 바로 표범입니다. 전북대학교는 표범을 대학의 상징동물로 사용하고 있으며 1982년에는 대학 본부 앞에 표범상을 설치하고 제막식을 열었습니다.,,,,,35.843850,127.130975,user_provided,,,
docent_spot,docent_engineering_airplane,,공과대학 비행기 전시물,도슨트스팟,전시물,,,,,전주캠퍼스,공과대학,공과대학 주변 항공 전시물,실제 한국 전쟁에서 사용된 전투기이다. 공군으로부터 기증받아 전시하고 있다.,,,,,35.846304,127.133462,user_provided,,,
docent_spot,docent_engineering_park,,공대 공원,도슨트스팟,휴식공간,,,,,전주캠퍼스,공과대학,공과대학 건물 사이에 위치한 휴식 공간,공과대학 건물 사이에 위치한 휴식 공간으로 잠시 쉬어가거나 다음 장소로 이동하기 좋은 곳이다.,,,,,35.846843,127.132566,user_provided,,,
docent_spot,docent_club_building,,동아리 전용관,도슨트스팟,학생활동공간,,,,,전주캠퍼스,동아리 전용관,전북대 학생들의 다양한 동아리 활동이 이루어지는 공간,"전북대 학생들의 다양한 동아리 활동이 이루어지는 공간입니다. 강의실에서 이루어지는 학업뿐 아니라, 학생들이 관심사를 공유하고 사람들과 교류하면서 대학생활을 만들어가는 장소라는 점에서 의미가 있습니다.",,,,,35.848565,127.128559,user_provided,,,
docent_spot,docent_basketball_court,,농구장,도슨트스팟,체육시설,,,,,전주캠퍼스,대운동장,학생들이 자유롭게 이용하는 야외 농구장,밤에 다들 사용하는 편이며 공만 가져오면 즐길 수 있습니다.,,,,,35.846783,127.127888,user_provided,,,
docent_spot,docent_museum_pavilion,,박물관 인근 정자,도슨트스팟,휴식공간,,,,,전주캠퍼스,박물관,박물관 주변의 풍경을 바라보며 쉬어가기 좋은 정자,"박물관 주변을 걷다 보면 만날 수 있는 휴식 공간입니다. 잠시 앉아 주변의 나무와 풍경을 바라보며 쉬어가기 좋아, 캠퍼스의 여유로운 분위기를 느낄 수 있습니다. 박물관 관람과 함께 둘러보면 전북대의 문화적인 공간과 자연을 함께 경험할 수 있습니다.",,,,,35.845585,127.126633,user_provided,,,
docent_spot,docent_cultural_center_park,,문화회관 공원,도슨트스팟,공원,,,,,전주캠퍼스,문화회관,문화회관 주변의 녹지와 휴식 공간,"문화회관 주변의 녹지와 휴식 공간입니다. 캠퍼스 안에서 산책하거나 잠시 머물기 좋은 곳으로, 건물과 자연이 어우러진 전북대 캠퍼스의 모습을 볼 수 있습니다. 계절에 따라 달라지는 나무와 공원의 분위기를 보는 것도 이곳의 매력입니다.",,,,,35.842091,127.130892,user_provided,,,
docent_spot,docent_humanities_cherry_road,,인문대 길,도슨트스팟,산책로,,,,,전주캠퍼스,인문대학,벚꽃길로 유명한 인문대학 인근 산책로,캠퍼스 안에서 벚꽃길로 유명한 곳입니다. 특히 벚꽃이 피는 시기에는 평범한 등굣길이 하나의 풍경이 되면서 전북대의 봄을 느낄 수 있습니다. 학생들에게는 매일 오가는 길이지만 방문객에게는 캠퍼스의 계절감을 보여줄 수 있는 장소입니다.,,,,,35.844465,127.132893,user_provided,,,
docent_spot,docent_agriculture_cherry_road,,농생대 뒤쪽 길,도슨트스팟,산책로,,,,,전주캠퍼스,농업생명과학대학,농생대 뒤편의 벚꽃 산책로,"농생대 뒤편으로 이어지는 길 역시 봄철 벚꽃을 감상하며 산책하기 좋은 구간입니다. 비교적 차분하게 걸으면서 벚꽃과 캠퍼스 풍경을 함께 볼 수 있어, 화려한 건물보다는 전북대의 일상적인 아름다움을 보여주기 좋은 장소입니다.",,,,,35.848674,127.132545,user_provided,,,
docent_spot,docent_shuttle_route1_student_hall,,학생회관 측면 제1노선 승강장,도슨트스팟,셔틀버스 승강장,,,,,전주캠퍼스,학생회관,제1노선 순환 셔틀 승강장 · 10:33 / 11:03 / 11:33 / 13:03 / 13:33 / 14:03,학생회관 측면에서 제1노선 순환 셔틀버스를 이용할 수 있습니다. 약 30분 간격으로 운행됩니다.,,,,운행 시간: 10:33 / 11:03 / 11:33 / 13:03 / 13:33 / 14:03,35.845613,127.127985,user_provided,,,
