no,name,location,type,hours,restriction,phone,note,latitude,longitude,coordinate_source
2,중앙도서관 편의점(쿱스켓),중앙도서관,편의점,24시간 운영(유인·무인),도서관 출입정책 확인,063-270-3949,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84829240,127.13201710,matched_facility_coordinate:중앙도서관
2,할리스(중앙도서관),중앙도서관,카페,08:30~17:30 / 매주 일요일 정기휴무,도서관 출입정책 확인,063-270-3949,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84829240,127.13201710,matched_facility_coordinate:중앙도서관
3,공과대학 편의점(쿱스켓),공과대학 1호관,편의점,24시간 운영(유인·무인),이용 가능,,주요 품목: 커피,35.848070,127.132040,naver_local_search
4,진수원 편의점(쿱스켓),진수당,편의점,24시간 운영(유인·무인),이용 가능,063-270-4442,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84547750,127.13086980,matched_facility_office_or_address:전북특별차지도 전주시 덕진구 백제대로 567 전북대학교 진수당 252호
5,건지 편의점(쿱스켓),건지원,편의점,24시간 운영(유인·무인),이용 가능,063-270-2148,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.84351000,127.13468500,matched_facility_office_or_address:건지원 2층 RISE사업단
6,훈산건지하우스 편의점(쿱스켓),훈산건지하우스,편의점,24시간 운영(유인·무인),이용 가능,063-219-6051,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.85177430,127.12926350,naver_local_search
7,인터내셔널 편의점(쿱스켓 실크로드점),인터내셔널센터 1층 외부,편의점,24시간 운영(유인·무인),이용 가능,063-270-5676,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.844474,127.130139,open_street_map
8,후생관 CU,후생관 외부,편의점,24시간 운영(유인·무인),이용 가능,063-219-5715,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영,35.847713,127.134688,
9,제1학생회관 CU,제1학생회관 1층,편의점,학기 08:00~22:00 / 방학 08:30~21:00 / 주말 10:00~19:00,이용 가능,,전북대 시설안내 | CU 편의점,35.845682,127.128414,
12,참빛관 이마트24,참빛관 1층,편의점,학기 08:00~22:00 / 방학·주말 공식 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한,35.85079500,127.12636600,matched_facility_coordinate:생활관참빛관
1,학생타운 커피점,학생타운,카페,학기 08:30~18:00 / 방학 09:00~17:00,이용 가능,063-270-2154,생협 공식 | 주요품목: 커피·빵 등,35.84583200,127.12811250,naver_local_search
2,진수원 커피점(쿱카페),진수당,카페,학기 08:30~18:00 / 방학 08:30~17:00,이용 가능,063-270-4350,생협 공식 | 주요품목: 커피·빵 등,35.84547750,127.13086980,matched_facility_office_or_address:전북특별차지도 전주시 덕진구 백제대로 567 전북대학교 진수당 252호
3,할리스(후생관),후생관,카페,학기 08:30~18:00 / 방학 09:00~17:00,이용 가능,063-270-2174,생협 공식 | 주요품목: 커피,35.84769610,127.13431570,naver_local_search
6,생협 카페(박물관),박물관 1층,카페,학기·방학 09:00~18:00,이용 가능,,전북대 시설안내 | 카페 매장,35.84565000,127.12620000,matched_facility_coordinate:박물관
8,생협 카페(제1학생회관),제1학생회관 1층,카페,학기 09:00~18:00 / 토 10:00~15:00 / 방학 공식 미기재,이용 가능,,전북대 시설안내 | 카페 매장,35.845682,127.128414,
9,느티나무카페,교내 느티나무 주변,카페,공식 운영시간 미기재,이용 가능,,전북대 시설안내 | 매장 존재 확인 / 운영시간 별도 확인,35.84677850,127.12858540,naver_local_search
10,생협 카페(참빛관),참빛관 1층,카페,공식 운영시간 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한,35.85079500,127.12636600,matched_facility_coordinate:생활관참빛관
11,아로미마실, 인터내셔널센터 1층 외부,카페,08:30~18:00 / 매주 일요일 정기휴무,이용 가능,063-219-5550,커피/카공하기 좋음, 35.844430, 127.130431, open_street_map
13,오스스퀘어(OS Square),오스스퀘어 건물 1~2층,카페,매일 08:00~22:00 / LO 21:30 (제공자료 기준),이용 가능,,별도 확인 | 생협 공식 매장목록에는 없음,35.844417,127.128800,
