code,name,main_function
3-0,농업생명과학대학 본관,센터·기계·산림·연구·강의
3-1,농업생명과학대학 1호관,강의·학생 휴게·동아리
3-2,농업생명과학대학 2호관,공통강의·화학실험·학생자치·휴게
3-3,농업생명과학대학 3호관,강의·학생자치·공통실험
3-4,농업생명과학대학 4호관,교육·연구 공간(세부 기능 미확인)
,경상대학 · 8-1 경상대학 1호관,학생 동아리 활동
,경상대학 · 8-2 경상대학 2호관,강의·특강
,경상대학 · 8-3 경상대학 3호관,교수연구
,사범대학 · 6-1 사범대학 본관,국어·수학 교원양성·학과행정
,사범대학 · 6-3 사범대학 과학관,과학교원 양성·실험교육
,사범대학 · 4-3 진수당 교육연구동,지리교원 양성·행정
,사범대학 · 6-4 사범대학 예체능관,예체능 교원양성·실기
,사회과학대학 · 14-3 인문사회관,사회과학 학과행정·교육
,사회과학대학 · 1-32 글로벌인재관,공공인재 교육·행정
,생활과학대학 · 7-1 생활과학대학,주거환경 교육·행정
,약학대학 · 10-1 약학대학,약학 교육·실습·연구
,예술대학 · 예술대 구관(공식 페이지 표기),무용 교육·실기·행정
,예술대학 · 예술대 신관(공식 페이지 표기),한국음악 교육·연습·행정
,예술대학 · 13-3 예술대학 미술관·1-6 예지원,전시·예술교육 지원
,의과대학 · 11-1 의과대학 본관,의예과 학사행정
,의과대학 · 11-2·11-3·11-4·11-5·27-10 관련 시설,의학 교육·연구·학생지원
,인문대학 · 14-2 인문대학 2호관,인문학 교육·학과행정
,인문대학 · 14-3 인문사회관,인문학 교육·학과행정
,인문대학 · 1-32 글로벌인재관,국제학 교육·행정
,인문대학 · 14-1 인문대학 1호관,인문학 교육·연구
,자연과학대학 · 15-0 자연과학대학 본관,수학 교육·행정
,자연과학대학 · 15-1 자연과학대학 1호관,화학 교육·행정
,자연과학대학 · 15-2 자연과학대학 2호관,생명과학 교육·행정
,자연과학대학 · 15-3 자연과학대학 3호관,스포츠과학 교육·행정
,자연과학대학 · 15-4 자연과학대학 4호관,분자생물 교육·행정
,자연과학대학 · 15-5 자연과학대학 5호관,물리 교육·행정
,자연과학대학 · 학군단 건물,반도체 교육·행정
,치과대학 · 12-1 치과대학 본관,치의학 교육·연구·행정
,치과대학 · 12-2 치과대학 2호관(양이재),치의학 교육·연구·지원
,AI대학 · 2-5 공과대학 5호관,소프트웨어 교육·행정
,AI대학 · 2-7 공과대학 7호관,컴퓨터·AI 교육·행정
,공과대학 · 2-1 공과대학 1호관,건축설계·바이오메디컬 연구·교육
,공과대학 · 2-2 공과대학 2호관,유기소재·고분자 교육·실험
,공과대학 · 2-3 공과대학 3호관,기계공학 강의·학생지원
,공과대학 · 2-4 공과대학 4호관,기계·에너지·정보소재 교육연구
,공과대학 · 2-5 공과대학 5호관,소프트웨어 교육·개발·연구
,공과대학 · 2-6 공과대학 6호관,산업·환경공학 교육·실험
,공과대학 · 2-7 공과대학 7호관,컴퓨터·정보보호·분산시스템 연구
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),자동차·공동실험·반도체설계교육
,공과대학 · 2-9 공과대학 9호관,도시설계 교육·학과행정
,공과대학 · 2-20 공과대학 부속공장,창업보육·시설지원
,공과대학 · 2-21 풍동실험실,풍동 실험·연구
,공과대학 · 2-22 무진동실험실,무진동 정밀실험·연구
,공과대학 · 2-23 대형풍동센터,대형 풍동 실험·연구
,간호대학 · 9-1 간호대학(간호임상센터),강의·대학원 학습·행사
,간호대학 · 의학도서관(공유 이용시설),자료열람·자율학습
