name,parent,parent2,office,phone,content
교무처,본부,,대학본부,NULL,
교무과,교무처,본부,대학본부 5층,063-270-4071,교무 교원인사 업무 총괄
교무과,교무처,본부,대학본부 5층,063-270-2081,"교무과장 / 교무과 업무 총괄, 개인정보보호 책임 업무"
교무과,교무처,본부,대학본부 5층,063-270-4948,"교무팀 업무총괄, 대학 학부 학생정원관리, 학과(부) 및 과정 설폐, 학칙 및 학사규정 제정 및 개폐, 학사운영위원회 운영, 교직원단체(교수회) 관리, 개인정보보호 담당 업무"
교무과,교무처,본부,대학본부 5층,063-270-4354,"회계(대학회계 등) 및 물품관리, 교육행정인턴 채용 및 관리, 보안, 일반서무 및 문서관리, 소관 부속(부설)기관 운영지도, 각종 경연대회 관리, 대학평의원회 관리 지원, 교직원단체(교수회) 관리 지원, 처내 타 주관에 속하지 않은 사항"
교무과,교무처,본부,대학본부 5층,063-270-2037,"교무처장 비서업무 및 교무처 부처장 업무지원 , 문서관리(문서접수)"
교무과,교무처,본부,대학본부 5층,063-219-5254,"신입생 모집단위 광역화(전공배정) 제반 업무 , 학생전공 선택권 강화 관련 업무 , 글로컬30 사업 추진 관련 업무 , 국제이공학부, 한옥학과, 이차전지공학과, 첨단방위산업학과 운영 관리 및 지원"
교무과,교무처,본부,대학본부 5층,063-270-2091,"교육지원팀 업무총괄, 유연한 학사제도 개선 지원, 교육혁신을 위한 교육과정 개선 지원, 교직과정 설·폐지 업무 및 운영, 교원자격증 발급"
교무과,교무처,본부,대학본부 5층,063-270-2084,"대학 및 대학원 교육과정 편성·조정, 융·복합 교육과정 개설, 다전공 제도 개선 및 운영, 졸업자격인증제 운영 규정 관리, 비단과대학 소속 교원 교육영역 지도비용"
교무과,교무처,본부,대학본부 5층,063-219-5252,"신입생 모집단위 광역화(가배정) 제반 업무, 융합학부 운영 관리 및 지원, 글로컬30 사업 추진 관련 업무"
교무과,교무처,본부,대학본부 5층,063-270-2085,"교원인사팀 업무총괄, 교원 정원관리, 전임교원 신규채용 총괄 추진, 교원인사 관련 규정 제개정, 신임교수 연수회 업무, 교직원(조교) 단체 업무 총괄"
교무과,교무처,본부,대학본부 5층,063-270-2086,"전임교원 신규 채용(상시채용), 전임교원 임면(겸임 포함), 명예교수(비전임교원) 추대"
교무과,교무처,본부,대학본부 5층,063-270-4356,"비전임교원 임면 및 관리 , 조교 임면 및 관리 , 교직원(조교) 단체 업무, 연구(강의)중점교수 선발 및 관리, 교원의 포상 업무, 전임교원 신규 채용 지원"
교무과,교무처,본부,대학본부 5층,063-270-4355,"교원의 징계 및 민원‧소송 업무, 노조 관련 업무(교수, 강사, 조교 등) 지원"
교무과,교무처,본부,대학본부 5층,063-270-2135,"전임교원 신규 채용 지원 및 국내‧외 연구교수 선발‧관리 , 교원 성과연봉제, 전임교원 보직‧통계, 사대부고 교원 인사 관리, 장애인 관련업무 , 교원 정년기념식(훈포장전수식 포함) , 양성평등 관련 업무"
교무과,교무처,본부,대학본부 5층,063-270-2118,"강사관리(강사노조포함), 교원 승진 및 재임용, 정년보장교수 연구실적 하한제 운영, 전임교원 신규채용 지원"
