building_code,building_name,floor,room_no,name,type
3-0,농업생명과학대학 본관,1층,101호,시청각실,교육공간
3-0,농업생명과학대학 본관,1층,104호,전산실,교육공간
3-0,농업생명과학대학 본관,1층,105호,컴퓨터제어실,기타/도면 표기
3-0,농업생명과학대학 본관,1층,106·107호,강의실,교육공간
3-0,농업생명과학대학 본관,1층,109호,전시실,공용·지원공간
3-0,농업생명과학대학 본관,1층,109호,수리학실험실,실험·연구공간
3-0,농업생명과학대학 본관,1층,111호,재료실험실,실험·연구공간
3-0,농업생명과학대학 본관,1층,112호,토질역학실험실,실험·연구공간
3-0,농업생명과학대학 본관,1층,113호,구조공학실험실,실험·연구공간
3-0,농업생명과학대학 본관,2층,201호,경영컨설팅,기타/도면 표기
3-0,농업생명과학대학 본관,2층,215호,농업과학기술연구소,연구·사업기관
3-0,농업생명과학대학 본관,2층,213호,센터행정실,행정공간
3-0,농업생명과학대학 본관,2층,211호,학장실·농업개발센터,행정공간
3-0,농업생명과학대학 본관,2층,209호,부학장실,행정공간
3-0,농업생명과학대학 본관,2층,228호,행정실,행정공간
3-0,농업생명과학대학 본관,2층,227호,제도준비실,실험·연구공간
3-0,농업생명과학대학 본관,2층,207·217·218호,강의실,교육공간
3-0,농업생명과학대학 본관,3층,302~303호,강의실,교육공간
3-0,농업생명과학대학 본관,3층,313호,공동기기분석실,실험·연구공간
3-0,농업생명과학대학 본관,3층,309호,동물자원학과부 학생·학술 공간,기타/도면 표기
3-0,농업생명과학대학 본관,3층,330호,산림자원학과 사무실,행정공간
3-0,농업생명과학대학 본관,3층,329호,세미나실,공용·지원공간
3-0,농업생명과학대학 본관,3층,도면 참조,수목·육종·환경임업·산림공학 실험실,실험·연구공간
3-0,농업생명과학대학 본관,4층,401호,쌀산업연구실,실험·연구공간
3-0,농업생명과학대학 본관,4층,402호,농촌생활환경설계실,기타/도면 표기
3-0,농업생명과학대학 본관,4층,403호,산림자원학과 종합기기실,실험·연구공간
3-0,농업생명과학대학 본관,4층,406-1호,WISE 전북지역센터,연구·사업기관
3-0,농업생명과학대학 본관,4층,407호,환경미생물배양실,기타/도면 표기
3-0,농업생명과학대학 본관,4층,408호,생물산업기계 학생공간,기타/도면 표기
3-0,농업생명과학대학 본관,4층,414호,제도실,교육공간
3-0,농업생명과학대학 본관,4층,415호,학생실험실,실험·연구공간
3-0,농업생명과학대학 본관,4층,416·417호,산림경영·보호 실험실,실험·연구공간
3-0,농업생명과학대학 본관,4층,423호,강의실,교육공간
3-1,농업생명과학대학 1호관,1층,100호,식물유전자원센터,연구·사업기관
3-1,농업생명과학대학 1호관,1층,101~102호,작물·식물유전 관련 공간,기타/도면 표기
3-1,농업생명과학대학 1호관,1층,103~104호,수박특화사업단,연구·사업기관
3-1,농업생명과학대학 1호관,1층,105호,바이오식품소재연구실,실험·연구공간
3-1,농업생명과학대학 1호관,1층,106호,교수회의실,학생·공용공간
3-1,농업생명과학대학 1호관,1층,107~113호,바이오식품소재 행정실·연구실·기기분석실,행정공간
3-1,농업생명과학대학 1호관,2층,201~202호,고친지식혁신특성화사업단,연구·사업기관
3-1,농업생명과학대학 1호관,2층,204호,IDEA 회의실,학생·공용공간
3-1,농업생명과학대학 1호관,2층,205호,REA 실험실,실험·연구공간
