no,name,location,type,hours,restriction,phone,note
1,학생타운 편의점(쿱스켓),학생타운,편의점,24시간 운영(유인·무인),이용 가능,063-270-2153,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
2,중앙도서관 편의점(쿱스켓),중앙도서관,편의점,24시간 운영(유인·무인),도서관 출입정책 확인,063-270-3949,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
3,공과대학 편의점(쿱스켓),공과대학 1호관,편의점,24시간 운영(유인·무인),이용 가능,063-270-2173,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
4,진수원 편의점(쿱스켓),진수당,편의점,24시간 운영(유인·무인),이용 가능,063-270-4442,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
5,건지 편의점(쿱스켓),건지원,편의점,24시간 운영(유인·무인),이용 가능,063-270-2148,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
6,훈산건지하우스 편의점(쿱스켓),훈산건지하우스,편의점,24시간 운영(유인·무인),이용 가능,063-219-6051,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
7,인터내셔널 편의점(쿱스켓 실크로드점),인터내셔널센터 1층 외부,편의점,24시간 운영(유인·무인),이용 가능,063-270-5676,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
8,후생관 편의점,후생관 외부,편의점,24시간 운영(유인·무인),이용 가능,063-219-5715,생협 공식 | 주요품목: 음료·과자·잡화·문구 | 유인·무인 운영
9,제1학생회관 CU,제1학생회관 1층,편의점,학기 08:00~22:00 / 방학 08:30~21:00 / 주말 10:00~19:00,이용 가능,,전북대 시설안내 | CU 편의점
10,학술도서관 CU,학술도서관 1층,편의점,학기 08:30~21:00 / 방학 08:30~20:00 / 주말 10:00~19:00,도서관 출입정책 확인,,전북대 시설안내 | 공식 페이지 표기: ‘학급도서관’
11,혜민관 이마트24,혜민관 1층,편의점,학기 08:00~22:00 / 방학·주말 공식 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한
12,참빛관 이마트24,참빛관 1층,편의점,학기 08:00~22:00 / 방학·주말 공식 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한
1,학생타운 커피점,학생타운,카페,학기 08:30~18:00 / 방학 09:00~17:00,이용 가능,063-270-2154,생협 공식 | 주요품목: 커피·빵 등
2,진수원 커피점(쿱카페),진수당,카페,학기 08:30~18:00 / 방학 08:30~17:00,이용 가능,063-270-4350,생협 공식 | 주요품목: 커피·빵 등
3,후생관 커피점(쿱카페),후생관,카페,학기 08:30~18:00 / 방학 09:00~17:00,이용 가능,063-270-2174,생협 공식 | 주요품목: 커피
4,의과대학 커피점(쿱카페),의과대학 학생회관,카페,학기 08:00~18:00 / 방학 08:00~17:00,이용 가능,063-270-4597,생협 공식 | 주요품목: 커피·빵 등
5,중도라운지 커피점(쿱카페),중앙도서관 1층,카페,학기 08:30~18:00 / 방학 09:00~17:00,도서관 출입정책 확인,063-270-3950,생협 공식 | 주요품목: 커피·빵 등
6,생협 카페(박물관),박물관 1층,카페,학기·방학 09:00~18:00,이용 가능,,전북대 시설안내 | 카페 매장
7,전북대햄 카페,전북대햄 매장,편의점,공식 운영시간 미기재,이용 가능,,전북대 시설안내 | 매장 존재 확인 / 운영시간 별도 확인
8,생협 카페(제1학생회관),제1학생회관 1층,카페,학기 09:00~18:00 / 토 10:00~15:00 / 방학 공식 미기재,이용 가능,,전북대 시설안내 | 카페 매장
9,느티나무카페,교내 느티나무 주변,편의점,공식 운영시간 미기재,이용 가능,,전북대 시설안내 | 매장 존재 확인 / 운영시간 별도 확인
10,생협 카페(참빛관),참빛관 1층,편의점,공식 운영시간 미기재,외부인 이용 불가,,전북대 시설안내 | 생활관 출입 제한
11,Coffee Library,후생관 1층,편의점,09:00~18:00 (제공자료 기준),이용 가능,,별도 확인 | 생협 공식 매장목록에는 없음
12,할리스(후생관점),후생관 1층,편의점,평일 09:00~17:00 (제공자료 기준),이용 가능,,별도 확인 | 생협 공식 매장목록에는 없음
13,오스스퀘어(OS Square),오스스퀘어 건물 1~2층,편의점,매일 08:00~22:00 / LO 21:30 (제공자료 기준),이용 가능,,별도 확인 | 생협 공식 매장목록에는 없음
14,카페 드롭탑,교내 브랜드 입점 구역,편의점,평일 08:30~18:00 (제공자료 기준),이용 가능,,별도 확인 | 생협 공식 매장목록에는 없음
