store_name,building_name
학생타운 편의점(쿱스켓),학생타운
중앙도서관 편의점(쿱스켓),중앙도서관
공과대학 편의점(쿱스켓),공과대학 1호관
진수원 편의점(쿱스켓),진수당
건지 편의점(쿱스켓),건지원
훈산건지하우스 편의점(쿱스켓),훈산건지하우스
인터내셔널 편의점(쿱스켓 실크로드점),인터내셔널센터 1층 외부
후생관 편의점,후생관 외부
제1학생회관 CU,제1학생회관 1층
학술도서관 CU,학술도서관 1층
혜민관 이마트24,혜민관 1층
참빛관 이마트24,참빛관 1층
학생타운 커피점,학생타운
진수원 커피점(쿱카페),진수당
후생관 커피점(쿱카페),후생관
의과대학 커피점(쿱카페),의과대학 학생회관
중도라운지 커피점(쿱카페),중앙도서관 1층
생협 카페(박물관),박물관 1층
전북대햄 카페,전북대햄 매장
생협 카페(제1학생회관),제1학생회관 1층
느티나무카페,교내 느티나무 주변
생협 카페(참빛관),참빛관 1층
Coffee Library,후생관 1층
할리스(후생관점),후생관 1층
오스스퀘어(OS Square),오스스퀘어 건물 1~2층
카페 드롭탑,교내 브랜드 입점 구역
