building_code,building_name,floor,room_no
3-0,농업생명과학대학 본관,1층,101호
3-0,농업생명과학대학 본관,1층,104호
3-0,농업생명과학대학 본관,1층,105호
3-0,농업생명과학대학 본관,1층,106·107호
3-0,농업생명과학대학 본관,1층,109호
3-0,농업생명과학대학 본관,1층,109호
3-0,농업생명과학대학 본관,1층,111호
3-0,농업생명과학대학 본관,1층,112호
3-0,농업생명과학대학 본관,1층,113호
3-0,농업생명과학대학 본관,2층,201호
3-0,농업생명과학대학 본관,2층,215호
3-0,농업생명과학대학 본관,2층,213호
3-0,농업생명과학대학 본관,2층,211호
3-0,농업생명과학대학 본관,2층,209호
3-0,농업생명과학대학 본관,2층,228호
3-0,농업생명과학대학 본관,2층,227호
3-0,농업생명과학대학 본관,2층,207·217·218호
3-0,농업생명과학대학 본관,3층,302~303호
3-0,농업생명과학대학 본관,3층,313호
3-0,농업생명과학대학 본관,3층,309호
3-0,농업생명과학대학 본관,3층,330호
3-0,농업생명과학대학 본관,3층,329호
3-0,농업생명과학대학 본관,3층,도면 참조
3-0,농업생명과학대학 본관,4층,401호
3-0,농업생명과학대학 본관,4층,402호
3-0,농업생명과학대학 본관,4층,403호
3-0,농업생명과학대학 본관,4층,406-1호
3-0,농업생명과학대학 본관,4층,407호
3-0,농업생명과학대학 본관,4층,408호
3-0,농업생명과학대학 본관,4층,414호
3-0,농업생명과학대학 본관,4층,415호
3-0,농업생명과학대학 본관,4층,416·417호
3-0,농업생명과학대학 본관,4층,423호
3-1,농업생명과학대학 1호관,1층,100호
3-1,농업생명과학대학 1호관,1층,101~102호
3-1,농업생명과학대학 1호관,1층,103~104호
3-1,농업생명과학대학 1호관,1층,105호
3-1,농업생명과학대학 1호관,1층,106호
3-1,농업생명과학대학 1호관,1층,107~113호
3-1,농업생명과학대학 1호관,2층,201~202호
3-1,농업생명과학대학 1호관,2층,204호
3-1,농업생명과학대학 1호관,2층,205호
3-1,농업생명과학대학 1호관,2층,206~206-2호
3-1,농업생명과학대학 1호관,2층,207·207-1호
3-1,농업생명과학대학 1호관,2층,209호
3-1,농업생명과학대학 1호관,2층,211호
3-1,농업생명과학대학 1호관,3층,301호
3-1,농업생명과학대학 1호관,3층,302호
3-1,농업생명과학대학 1호관,3층,303호
3-1,농업생명과학대학 1호관,3층,306호
3-1,농업생명과학대학 1호관,3층,307호
3-1,농업생명과학대학 1호관,3층,307-1호
3-1,농업생명과학대학 1호관,3층,308호
3-1,농업생명과학대학 1호관,3층,309-1호
3-1,농업생명과학대학 1호관,4층,도면 참조
3-1,농업생명과학대학 1호관,4층,401호
3-1,농업생명과학대학 1호관,4층,402호
3-1,농업생명과학대학 1호관,4층,403호
3-1,농업생명과학대학 1호관,4층,408~412호
3-2,농업생명과학대학 2호관,1층,101호
3-2,농업생명과학대학 2호관,1층,102호
3-2,농업생명과학대학 2호관,1층,103~106호
3-2,농업생명과학대학 2호관,1층,115호
3-2,농업생명과학대학 2호관,1층,108·111·113·114호
3-2,농업생명과학대학 2호관,1층,107호
3-2,농업생명과학대학 2호관,2층,201~207호
3-2,농업생명과학대학 2호관,2층,208·210호
3-2,농업생명과학대학 2호관,2층,211~218호
3-2,농업생명과학대학 2호관,2층,219호
3-2,농업생명과학대학 2호관,2층,220~222호
3-2,농업생명과학대학 2호관,3층,326호
3-2,농업생명과학대학 2호관,3층,322~325호
3-2,농업생명과학대학 2호관,3층,301~320호
3-2,농업생명과학대학 2호관,4층,401~406호
3-2,농업생명과학대학 2호관,4층,408~410호
3-2,농업생명과학대학 2호관,4층,411호
3-2,농업생명과학대학 2호관,4층,412호
3-2,농업생명과학대학 2호관,4층,413호
3-2,농업생명과학대학 2호관,4층,414호
3-2,농업생명과학대학 2호관,4층,415호
3-2,농업생명과학대학 2호관,4층,416호
3-2,농업생명과학대학 2호관,4층,417호
3-2,농업생명과학대학 2호관,4층,418호
3-2,농업생명과학대학 2호관,4층,419호
3-3,농업생명과학대학 3호관,1층,101호
3-3,농업생명과학대학 3호관,1층,101-1·101-2호
3-3,농업생명과학대학 3호관,1층,102호
3-3,농업생명과학대학 3호관,1층,103호
3-3,농업생명과학대학 3호관,1층,104호
3-3,농업생명과학대학 3호관,1층,113호
3-3,농업생명과학대학 3호관,1층,114~116호
3-3,농업생명과학대학 3호관,1층,108호
3-3,농업생명과학대학 3호관,1층,119호
3-3,농업생명과학대학 3호관,2층,217호
3-3,농업생명과학대학 3호관,2층,218·219호
3-3,농업생명과학대학 3호관,2층,220호
3-3,농업생명과학대학 3호관,2층,221·225호
3-3,농업생명과학대학 3호관,2층,226호
3-3,농업생명과학대학 3호관,3층,311-1호
3-3,농업생명과학대학 3호관,3층,311호
3-3,농업생명과학대학 3호관,3층,312호
3-3,농업생명과학대학 3호관,3층,313-1호
3-3,농업생명과학대학 3호관,3층,306호
3-3,농업생명과학대학 3호관,3층,307호
3-3,농업생명과학대학 3호관,3층,309-1~310-1호
3-3,농업생명과학대학 3호관,3층,316·317호
3-3,농업생명과학대학 3호관,3층,313호
3-3,농업생명과학대학 3호관,4층,401호
3-3,농업생명과학대학 3호관,4층,403~404호
3-3,농업생명과학대학 3호관,4층,415호
3-3,농업생명과학대학 3호관,4층,416호
3-3,농업생명과학대학 3호관,4층,414호
3-4,농업생명과학대학 4호관,전체,도면 참조
3-4,농업생명과학대학 4호관,전체,418호
,경상대학 · 8-1 경상대학 1호관,1층,104호
,경상대학 · 8-1 경상대학 1호관,1층,108호
,경상대학 · 8-1 경상대학 1호관,1층,122호
,경상대학 · 8-1 경상대학 1호관,3층,312호
,경상대학 · 8-1 경상대학 1호관,3층,317호
,경상대학 · 8-1 경상대학 1호관,4층,412호
,경상대학 · 8-1 경상대학 1호관,4층,413호
,경상대학 · 8-1 경상대학 1호관,4층,415호
,경상대학 · 8-1 경상대학 1호관,4층,416호
,경상대학 · 8-2 경상대학 2호관,1층,106호
,경상대학 · 8-2 경상대학 2호관,2층,213호
,경상대학 · 8-2 경상대학 2호관,2층,214호
,경상대학 · 8-2 경상대학 2호관,2층,215호
,경상대학 · 8-2 경상대학 2호관,3층,301호
,경상대학 · 8-2 경상대학 2호관,3층,315호
,경상대학 · 8-2 경상대학 2호관,4층,402호
,경상대학 · 8-3 경상대학 3호관,1층,104호
,경상대학 · 8-3 경상대학 3호관,1층,111호
,경상대학 · 8-3 경상대학 3호관,1층,112호
,경상대학 · 8-3 경상대학 3호관,1층,113호
,경상대학 · 8-3 경상대학 3호관,1층,114호
,경상대학 · 8-3 경상대학 3호관,1층,115호
,경상대학 · 8-3 경상대학 3호관,1층,117호
,경상대학 · 8-3 경상대학 3호관,2층,209호
,경상대학 · 8-3 경상대학 3호관,2층,211호
,경상대학 · 8-3 경상대학 3호관,2층,212호
,경상대학 · 8-3 경상대학 3호관,2층,213호
,경상대학 · 8-3 경상대학 3호관,2층,214호
,경상대학 · 8-3 경상대학 3호관,2층,215호
,경상대학 · 8-3 경상대학 3호관,2층,216호
,경상대학 · 8-3 경상대학 3호관,3층,301호
,경상대학 · 8-3 경상대학 3호관,3층,304호
,경상대학 · 8-3 경상대학 3호관,3층,305호
,경상대학 · 8-3 경상대학 3호관,3층,306호
,경상대학 · 8-3 경상대학 3호관,3층,307호
,경상대학 · 8-3 경상대학 3호관,3층,308호
,경상대학 · 8-3 경상대학 3호관,3층,309호
,경상대학 · 8-3 경상대학 3호관,3층,310호
,경상대학 · 8-3 경상대학 3호관,3층,311호
,경상대학 · 8-3 경상대학 3호관,3층,312호
,경상대학 · 8-3 경상대학 3호관,3층,317호
,경상대학 · 8-3 경상대학 3호관,3층,318호
,경상대학 · 8-3 경상대학 3호관,3층,319호
,경상대학 · 8-3 경상대학 3호관,3층,320호
,경상대학 · 8-3 경상대학 3호관,3층,321호
,경상대학 · 8-3 경상대학 3호관,3층,322호
,경상대학 · 8-3 경상대학 3호관,3층,323호
,경상대학 · 8-3 경상대학 3호관,3층,324호
,경상대학 · 8-3 경상대학 3호관,4층,402호
,경상대학 · 8-3 경상대학 3호관,4층,403호
,경상대학 · 8-3 경상대학 3호관,4층,404호
,경상대학 · 8-3 경상대학 3호관,4층,405호
,경상대학 · 8-3 경상대학 3호관,4층,406호
,경상대학 · 8-3 경상대학 3호관,4층,407호
,경상대학 · 8-3 경상대학 3호관,4층,408호
,경상대학 · 8-3 경상대학 3호관,4층,409호
,경상대학 · 8-3 경상대학 3호관,4층,410호
,경상대학 · 8-3 경상대학 3호관,4층,411호
,경상대학 · 8-3 경상대학 3호관,4층,412호
,경상대학 · 8-3 경상대학 3호관,4층,417호
,경상대학 · 8-3 경상대학 3호관,4층,418호
,경상대학 · 8-3 경상대학 3호관,4층,419호
,경상대학 · 8-3 경상대학 3호관,4층,420호
