building_code,building_name,floor,room_no
3-0,농업생명과학대학 본관,1층,101호
3-0,농업생명과학대학 본관,1층,104호
3-0,농업생명과학대학 본관,1층,105호
3-0,농업생명과학대학 본관,1층,106·107호
3-0,농업생명과학대학 본관,1층,109호
3-0,농업생명과학대학 본관,1층,109호
3-0,농업생명과학대학 본관,1층,111호
3-0,농업생명과학대학 본관,1층,112호
3-0,농업생명과학대학 본관,1층,113호
3-0,농업생명과학대학 본관,2층,201호
3-0,농업생명과학대학 본관,2층,215호
3-0,농업생명과학대학 본관,2층,213호
3-0,농업생명과학대학 본관,2층,211호
3-0,농업생명과학대학 본관,2층,209호
3-0,농업생명과학대학 본관,2층,228호
3-0,농업생명과학대학 본관,2층,227호
3-0,농업생명과학대학 본관,2층,207·217·218호
3-0,농업생명과학대학 본관,3층,302~303호
3-0,농업생명과학대학 본관,3층,313호
3-0,농업생명과학대학 본관,3층,309호
3-0,농업생명과학대학 본관,3층,330호
3-0,농업생명과학대학 본관,3층,329호
3-0,농업생명과학대학 본관,3층,도면 참조
3-0,농업생명과학대학 본관,4층,401호
3-0,농업생명과학대학 본관,4층,402호
3-0,농업생명과학대학 본관,4층,403호
3-0,농업생명과학대학 본관,4층,406-1호
3-0,농업생명과학대학 본관,4층,407호
3-0,농업생명과학대학 본관,4층,408호
3-0,농업생명과학대학 본관,4층,414호
3-0,농업생명과학대학 본관,4층,415호
3-0,농업생명과학대학 본관,4층,416·417호
3-0,농업생명과학대학 본관,4층,423호
3-1,농업생명과학대학 1호관,1층,100호
3-1,농업생명과학대학 1호관,1층,101~102호
3-1,농업생명과학대학 1호관,1층,103~104호
3-1,농업생명과학대학 1호관,1층,105호
3-1,농업생명과학대학 1호관,1층,106호
3-1,농업생명과학대학 1호관,1층,107~113호
3-1,농업생명과학대학 1호관,2층,201~202호
3-1,농업생명과학대학 1호관,2층,204호
3-1,농업생명과학대학 1호관,2층,205호
3-1,농업생명과학대학 1호관,2층,206~206-2호
3-1,농업생명과학대학 1호관,2층,207·207-1호
3-1,농업생명과학대학 1호관,2층,209호
3-1,농업생명과학대학 1호관,2층,211호
3-1,농업생명과학대학 1호관,3층,301호
3-1,농업생명과학대학 1호관,3층,302호
3-1,농업생명과학대학 1호관,3층,303호
3-1,농업생명과학대학 1호관,3층,306호
3-1,농업생명과학대학 1호관,3층,307호
3-1,농업생명과학대학 1호관,3층,307-1호
3-1,농업생명과학대학 1호관,3층,308호
3-1,농업생명과학대학 1호관,3층,309-1호
3-1,농업생명과학대학 1호관,4층,도면 참조
3-1,농업생명과학대학 1호관,4층,401호
3-1,농업생명과학대학 1호관,4층,402호
3-1,농업생명과학대학 1호관,4층,403호
3-1,농업생명과학대학 1호관,4층,408~412호
3-2,농업생명과학대학 2호관,1층,101호
3-2,농업생명과학대학 2호관,1층,102호
3-2,농업생명과학대학 2호관,1층,103~106호
3-2,농업생명과학대학 2호관,1층,115호
3-2,농업생명과학대학 2호관,1층,108·111·113·114호
3-2,농업생명과학대학 2호관,1층,107호
3-2,농업생명과학대학 2호관,2층,201~207호
3-2,농업생명과학대학 2호관,2층,208·210호
3-2,농업생명과학대학 2호관,2층,211~218호
3-2,농업생명과학대학 2호관,2층,219호
3-2,농업생명과학대학 2호관,2층,220~222호
3-2,농업생명과학대학 2호관,3층,326호
3-2,농업생명과학대학 2호관,3층,322~325호
3-2,농업생명과학대학 2호관,3층,301~320호
3-2,농업생명과학대학 2호관,4층,401~406호
3-2,농업생명과학대학 2호관,4층,408~410호
3-2,농업생명과학대학 2호관,4층,411호
3-2,농업생명과학대학 2호관,4층,412호
3-2,농업생명과학대학 2호관,4층,413호
3-2,농업생명과학대학 2호관,4층,414호
3-2,농업생명과학대학 2호관,4층,415호
3-2,농업생명과학대학 2호관,4층,416호
3-2,농업생명과학대학 2호관,4층,417호
3-2,농업생명과학대학 2호관,4층,418호
3-2,농업생명과학대학 2호관,4층,419호
3-3,농업생명과학대학 3호관,1층,101호
3-3,농업생명과학대학 3호관,1층,101-1·101-2호
3-3,농업생명과학대학 3호관,1층,102호
3-3,농업생명과학대학 3호관,1층,103호
3-3,농업생명과학대학 3호관,1층,104호
3-3,농업생명과학대학 3호관,1층,113호
3-3,농업생명과학대학 3호관,1층,114~116호
3-3,농업생명과학대학 3호관,1층,108호
3-3,농업생명과학대학 3호관,1층,119호
3-3,농업생명과학대학 3호관,2층,217호
3-3,농업생명과학대학 3호관,2층,218·219호
3-3,농업생명과학대학 3호관,2층,220호
3-3,농업생명과학대학 3호관,2층,221·225호
3-3,농업생명과학대학 3호관,2층,226호
3-3,농업생명과학대학 3호관,3층,311-1호
3-3,농업생명과학대학 3호관,3층,311호
3-3,농업생명과학대학 3호관,3층,312호
3-3,농업생명과학대학 3호관,3층,313-1호
3-3,농업생명과학대학 3호관,3층,306호
3-3,농업생명과학대학 3호관,3층,307호
3-3,농업생명과학대학 3호관,3층,309-1~310-1호
3-3,농업생명과학대학 3호관,3층,316·317호
3-3,농업생명과학대학 3호관,3층,313호
3-3,농업생명과학대학 3호관,4층,401호
3-3,농업생명과학대학 3호관,4층,403~404호
3-3,농업생명과학대학 3호관,4층,415호
3-3,농업생명과학대학 3호관,4층,416호
3-3,농업생명과학대학 3호관,4층,414호
3-4,농업생명과학대학 4호관,전체,도면 참조
3-4,농업생명과학대학 4호관,전체,418호
8-1,경상대학 1호관,1층,104호
8-1,경상대학 1호관,1층,108호
8-1,경상대학 1호관,1층,122호
8-1,경상대학 1호관,3층,312호
8-1,경상대학 1호관,3층,317호
8-1,경상대학 1호관,4층,412호
8-1,경상대학 1호관,4층,413호
8-1,경상대학 1호관,4층,415호
8-1,경상대학 1호관,4층,416호
8-2,경상대학 2호관,1층,106호
8-2,경상대학 2호관,2층,213호
8-2,경상대학 2호관,2층,214호
8-2,경상대학 2호관,2층,215호
8-2,경상대학 2호관,3층,301호
8-2,경상대학 2호관,3층,315호
8-2,경상대학 2호관,4층,402호
8-3,경상대학 3호관,1층,104호
8-3,경상대학 3호관,1층,111호
8-3,경상대학 3호관,1층,112호
8-3,경상대학 3호관,1층,113호
8-3,경상대학 3호관,1층,114호
8-3,경상대학 3호관,1층,115호
8-3,경상대학 3호관,1층,117호
8-3,경상대학 3호관,2층,209호
8-3,경상대학 3호관,2층,211호
8-3,경상대학 3호관,2층,212호
8-3,경상대학 3호관,2층,213호
8-3,경상대학 3호관,2층,214호
8-3,경상대학 3호관,2층,215호
8-3,경상대학 3호관,2층,216호
8-3,경상대학 3호관,3층,301호
8-3,경상대학 3호관,3층,304호
8-3,경상대학 3호관,3층,305호
8-3,경상대학 3호관,3층,306호
8-3,경상대학 3호관,3층,307호
8-3,경상대학 3호관,3층,308호
8-3,경상대학 3호관,3층,309호
8-3,경상대학 3호관,3층,310호
8-3,경상대학 3호관,3층,311호
8-3,경상대학 3호관,3층,312호
8-3,경상대학 3호관,3층,317호
8-3,경상대학 3호관,3층,318호
8-3,경상대학 3호관,3층,319호
8-3,경상대학 3호관,3층,320호
8-3,경상대학 3호관,3층,321호
8-3,경상대학 3호관,3층,322호
8-3,경상대학 3호관,3층,323호
8-3,경상대학 3호관,3층,324호
8-3,경상대학 3호관,4층,402호
8-3,경상대학 3호관,4층,403호
8-3,경상대학 3호관,4층,404호
8-3,경상대학 3호관,4층,405호
8-3,경상대학 3호관,4층,406호
8-3,경상대학 3호관,4층,407호
8-3,경상대학 3호관,4층,408호
8-3,경상대학 3호관,4층,409호
8-3,경상대학 3호관,4층,410호
8-3,경상대학 3호관,4층,411호
8-3,경상대학 3호관,4층,412호
8-3,경상대학 3호관,4층,417호
8-3,경상대학 3호관,4층,418호
8-3,경상대학 3호관,4층,419호
8-3,경상대학 3호관,4층,420호
8-3,경상대학 3호관,4층,421호
8-3,경상대학 3호관,4층,422호
6-1,사범대학 본관,3층,302호
6-1,사범대학 본관,3층,323호
6-1,사범대학 본관,4층,403호
6-1,사범대학 본관,4층,423호
6-3,사범대학 과학관,1층,113호
6-3,사범대학 과학관,1층,115호
6-3,사범대학 과학관,3층,310-2호
6-3,사범대학 과학관,3층,320호
4-3,진수당 교육연구동,2층,204호
4-3,진수당 교육연구동,3층,311호
4-3,진수당 교육연구동,4층,411호
4-3,진수당 교육연구동,4층,411호
4-3,진수당 교육연구동,5층,520호
14-3,인문사회관,3층,326호
14-3,인문사회관,3층,327호
14-3,인문사회관,3층,328호
14-3,인문사회관,3층,329호
14-3,인문사회관,3층,330호
14-3,인문사회관,3층,331호
1-32,글로벌인재관,2층,209호
7-1,생활과학대학,1층,102호
7-1,생활과학대학,2층,205호
7-1,생활과학대학,3층,305호
7-1,생활과학대학,4층,405호
7-1,생활과학대학,5층,505호
,예술대 구관(공식 페이지 표기),2층,2030호
